"NDB_No","Seq","Amount","Msre_Desc","Gm_Wgt","Num_Data_pts","Std_Dev"
"01050","4","1.0","container, individual","11.1","",""
"01052","1","1.0","cup, whipped","120.0","",""
"01052","2","1.0","cup, fluid (yields 2 cups whipped)","239.0","",""
"01052","3","1.0","tbsp","15.0","",""
"01053","1","1.0","cup, whipped","120.0","",""
"01053","2","1.0","cup, fluid (yields 2 cups whipped)","238.0","",""
"01053","3","1.0","tbsp","15.0","",""
"01053","4","1.0","fl oz","29.8","",""
"01054","1","1.0","cup","60.0","",""
"01054","2","1.0","tbsp","3.0","",""
"01055","1","1.0","tbsp","15.0","",""
"01055","2","1.0","cup","242.0","",""
"01056","1","1.0","tbsp","12.0","",""
"01056","2","1.0","cup","230.0","",""
"01057","1","1.0","cup","254.0","",""
"01057","2","1.0","fl oz","31.8","",""
"01057","3","1.0","quart","1016.0","",""
"01058","1","1.0","tbsp","12.0","",""
"01058","2","1.0","cup","235.0","",""
"01059","1","1.0","cup","244.0","",""
"01059","2","1.0","quart","976.0","",""
"01060","1","1.0","cup","244.0","",""
"01060","2","1.0","fl oz","30.5","",""
"01060","3","1.0","quart","976.0","",""
"01061","1","1.0","serving","19.0","1",""
"01067","1","1.0","container, individual","15.0","",""
"01067","2","1.0","fl oz","30.0","",""
"01067","3","1.0","cup","240.0","",""
"01067","4","0.5","cup","120.0","",""
"01068","1","1.0","container, individual","15.0","",""
"01068","2","0.5","cup","120.0","",""
"01069","1","1.0","cup","94.0","",""
"01069","2","1.0","tsp","2.0","",""
"01069","3","1.0","packet","3.0","",""
"01070","1","1.5","oz","43.0","",""
"01070","2","1.0","portion, amount to make 1 tbsp","1.3","",""
"01071","1","1.0","cup","80.0","",""
"01071","2","1.0","tbsp","4.0","",""
"01071","3","1.0","package yields","160.0","",""
"01072","1","1.0","cup","70.0","",""
"01072","2","1.0","tbsp","4.0","",""
"01073","1","1.0","cup","75.0","",""
"01073","2","1.0","tbsp","4.0","",""
"01074","1","1.0","oz","28.35","",""
"01074","2","1.0","cup","230.0","",""
"01076","1","1.0","cup","244.0","",""
"01076","2","1.0","quart","976.0","",""
"01077","1","1.0","cup","244.0","",""
"01077","2","1.0","fl oz","30.5","",""
"01077","3","1.0","tbsp","15.0","",""
"01077","4","1.0","quart","976.0","",""
"01078","1","1.0","cup","244.0","",""
"01078","2","1.0","quart","976.0","",""
"01079","1","1.0","cup","244.0","",""
"01079","2","1.0","fl oz","30.5","",""
"01079","3","1.0","quart","976.0","",""
"01080","1","1.0","cup","245.0","",""
"01080","2","1.0","quart","980.0","",""
"01081","1","1.0","cup","246.0","",""
"01081","2","1.0","quart","984.0","",""
"01082","1","1.0","cup","244.0","",""
"01082","2","1.0","fl oz","30.5","",""
"01082","3","1.0","quart","976.0","",""
"01083","1","1.0","cup","245.0","",""
"01083","2","1.0","quart","980.0","",""
"01084","1","1.0","cup","246.0","",""
"01084","2","1.0","quart","984.0","",""
"01085","1","1.0","cup","245.0","",""
"01085","2","1.0","fl oz","30.6","",""
"01085","3","1.0","quart","980.0","",""
"01086","1","1.0","cup","245.0","",""
"01086","2","1.0","fl oz","30.6","",""
"01086","3","1.0","quart","980.0","",""
"01087","1","1.0","cup","246.0","",""
"01087","2","1.0","quart","984.0","",""
"01088","1","1.0","cup","245.0","",""
"01088","2","1.0","fl oz","30.6","",""
"01088","3","1.0","quart","980.0","",""
"01089","1","1.0","cup","244.0","",""
"01089","2","1.0","fl oz","30.5","",""
"01089","3","1.0","quart","976.0","",""
"01090","1","0.25","cup","32.0","",""
"01090","2","1.0","cup","128.0","",""
"01091","1","0.25","cup","30.0","",""
"01091","2","1.0","cup","120.0","",""
"01091","3","5.0","tbsp","23.0","1",""
"01092","1","1.0","cup","68.0","",""
"01092","2","1.0","envelope (1-1/3 cup)","91.0","",""
"01092","3","0.333","cup (makes 1 cup reconstituted milk)","23.0","",""
"01093","1","1.0","oz","28.35","",""
"01093","2","0.25","lb","113.0","",""
"01094","1","0.25","cup","30.0","",""
"01094","2","1.0","cup","120.0","",""
"01094","3","1.0","tbsp","6.5","",""
"01095","1","1.0","fl oz","38.2","",""
"01095","2","1.0","cup","306.0","",""
"01096","1","1.0","fl oz","31.5","",""
"01096","2","1.0","cup","252.0","",""
"01096","3","1.0","can (13 oz)","369.0","",""
"01096","4","0.5","cup","126.0","",""
"01097","1","1.0","fl oz","31.9","",""
"01097","2","1.0","cup","256.0","",""
"01097","3","0.5","cup","128.0","",""
"01102","1","1.0","cup","250.0","",""
"01102","2","1.0","fl oz","31.2","",""
"01102","3","1.0","quart","1000.0","",""
"01103","1","1.0","cup","250.0","",""
"01103","2","1.0","fl oz","31.2","",""
"01103","3","1.0","quart","1000.0","",""
"01104","1","1.0","cup","250.0","",""
"01104","2","1.0","quart","1000.0","",""
"01105","1","1.0","cup","250.0","",""
"01105","2","1.0","fl oz","31.2","",""
"01106","1","1.0","fl oz","30.5","",""
"01106","2","1.0","cup","244.0","",""
"01106","3","1.0","quart","976.0","",""
"01107","1","1.0","fl oz","30.8","",""
"01107","2","1.0","cup","246.0","",""
"01108","1","1.0","cup","244.0","",""
"01108","2","1.0","quart","976.0","",""
"01109","1","1.0","cup","245.0","",""
"01109","2","1.0","quart","980.0","",""
"01110","1","1.0","fl oz","28.4","",""
"01110","2","1.0","container (10.6 oz)","300.0","",""
"01111","1","1.0","fl oz","28.4","",""
"01111","2","1.0","container (11 oz)","313.0","",""
"01112","1","1.0","cup","246.0","",""
"01112","2","1.0","quart","984.0","",""
"01113","1","1.0","cup","57.0","",""
"01113","2","1.0","tbsp","2.9","",""
"01114","1","1.0","cup","246.0","",""
"01114","2","1.0","quart","984.0","",""
"01115","1","1.0","cup","145.0","",""
"01115","2","1.0","tbsp","7.5","",""
"01116","1","1.0","container (6 oz)","170.0","",""
"01116","2","1.0","container (8 oz)","227.0","",""
"01116","3","0.5","container (4 oz)","113.0","",""
"01116","4","1.0","cup (8 fl oz)","245.0","",""
"01117","1","1.0","container (6 oz)","170.0","",""
"01117","2","1.0","container (8 oz)","227.0","",""
"01117","3","0.5","container (4 oz)","113.0","",""
"01117","4","1.0","cup (8 fl oz)","245.0","",""
"01118","1","1.0","container (6 oz)","170.0","",""
"01118","2","1.0","container (8 oz)","227.0","",""
"01118","3","1.0","cup (8 fl oz)","245.0","",""
"01119","1","1.0","container (6 oz)","170.0","",""
"01119","2","1.0","container (8 oz)","227.0","",""
"01119","3","1.0","cup (8 fl oz)","245.0","",""
"01120","1","1.0","container (6 oz)","170.0","",""
"01120","2","1.0","container (4.4 oz)","125.0","",""
"01120","3","1.0","container (5 oz)","142.0","",""
"01120","4","1.0","cup (8 fl oz)","245.0","",""
"01120","5","1.0","container (8 oz)","227.0","",""
"01120","6","0.5","container (4 oz)","113.0","",""
"01121","1","1.0","container (6 oz)","170.0","",""
"01121","2","1.0","cup (8 fl oz)","245.0","",""
"01121","3","1.0","container (8 oz)","227.0","",""
"01121","5","1.0","container, Dannon Sprinkl'ins (4.1 oz)","116.0","",""
"01121","6","0.5","container (4 oz)","113.0","",""
"01122","1","1.0","container (6 oz)","170.0","",""
"01122","2","0.5","container (4 oz)","113.0","",""
"01122","3","1.0","container (8 oz)","227.0","",""
"01123","1","1.0","large","50.0","",""
"01123","2","1.0","extra large","56.0","",""
"01123","3","1.0","jumbo","63.0","",""
"01123","5","1.0","cup (4.86 large eggs)","243.0","",""
"01123","6","1.0","medium","44.0","",""
"01123","7","1.0","small","38.0","",""
"01124","1","1.0","large","33.0","",""
"01124","2","1.0","cup","243.0","",""
"01125","1","1.0","large","17.0","",""
"01125","2","1.0","cup","243.0","",""
"01126","1","1.0","oz","28.35","",""
"01126","2","0.5","lb","227.0","",""
"01127","1","1.0","oz","28.35","",""
"01127","2","0.5","lb","227.0","",""
"01128","1","1.0","large","46.0","",""
"01129","1","1.0","cup, chopped","136.0","",""
"01129","2","1.0","tbsp","8.5","",""
"01129","3","1.0","large","50.0","",""
"01130","1","1.0","tbsp","15.0","",""
"01130","2","1.0","large","61.0","",""
"01131","1","1.0","large","50.0","",""
"01132","1","1.0","large","61.0","",""
"01132","2","1.0","tbsp","13.7","",""
"01132","3","1.0","cup","220.0","",""
"01133","1","1.0","cup, sifted","85.0","",""
"01133","2","1.0","tbsp","5.0","",""
"01134","1","1.0","cup, sifted","85.0","",""
"01134","2","1.0","tbsp","5.0","",""
"01135","1","1.0","oz","28.35","",""
"01135","2","0.5","lb","227.0","",""
"01136","1","1.0","cup, sifted","107.0","",""
"01136","2","1.0","tbsp","7.0","",""
"01137","1","1.0","cup, sifted","67.0","",""
"01137","2","1.0","tbsp","4.0","",""
"01138","1","1.0","egg","70.0","",""
"01139","1","1.0","egg","144.0","",""
"01140","1","1.0","egg","9.0","",""
"01141","1","1.0","egg","79.0","",""
"01144","1","0.35","oz","9.9","",""
"01144","2","0.7","oz","20.0","",""
"01145","1","1.0","pat (1"" sq, 1/3"" high)","5.0","",""
"01145","2","1.0","tbsp","14.2","",""
"01145","3","1.0","cup","227.0","",""
"01145","4","1.0","stick","113.0","",""
"01146","1","1.0","tbsp","5.0","",""
"01151","1","1.0","cup","245.0","",""
"01151","2","1.0","quart","980.0","",""
