"NDB_No","Nutr_No","Isfl_Val","SD","n","Min","Max","CC","DataSrc_ID"
"12104","710","0.01","","1.0","0.01","0.01","B","51"
"12104","711","0.01","","1.0","0.01","0.01","B","51"
"12104","713","0.02","","1.0","0.02","0.02","B","51"
"12108","710","0.0","","1.0","0.0","0.0","B","51"
"12108","711","0.0","","1.0","0.0","0.0","B","51"
"12108","713","0.0","","1.0","0.0","0.0","B","51"
"12120","710","0.005","0.007071067811865475","2.0","0.0","0.01","C","51,89"
"12120","711","0.02","0.0","2.0","0.02","0.02","C","51,89"
"12120","712","0.0","","1.0","0.0","0.0","C","89"
"12120","713","0.025","0.007071067811865474","2.0","0.02","0.03","C","51,89"
"12120","715","0.0012","","1.0","0.0012","0.0012","","89"
"12120","716","3.0E-4","","1.0","3.0E-4","3.0E-4","","89"
"12142","710","0.0","","1.0","0.0","0.0","D","89"
"12142","711","0.0","","1.0","0.0","0.0","D","89"
"12142","712","0.0","","1.0","0.0","0.0","D","89"
"12142","713","0.0","","1.0","0.0","0.0","D","89"
"12142","715","7.0E-4","","1.0","7.0E-4","7.0E-4","","89"
"12142","716","3.0E-4","","1.0","3.0E-4","3.0E-4","","89"
"12151","710","1.875","2.5526554800834367","2.0","0.07","3.68","C","29,89"
"12151","711","1.75","2.3334523779156067","2.0","0.1","3.4","C","29,89"
"12151","712","0.0","","1.0","0.0","0.0","C","89"
"12151","713","3.63","4.879036790187178","2.0","0.18","7.08","C","29,89"
"12151","715","2.0E-4","","1.0","2.0E-4","2.0E-4","","89"
"12151","716","0.0067","","1.0","0.0067","0.0067","","89"
"12155","710","0.02","0.0282842712474619","2.0","0.0","0.04","C","51,89"
"12155","711","0.01","0.01414213562373095","2.0","0.0","0.02","C","51,89"
"12155","712","0.0","","1.0","0.0","0.0","C","89"
"12155","713","0.025","0.03535533905932738","2.0","0.0","0.05","C","51,89"
"12155","715","9.0E-4","","1.0","9.0E-4","9.0E-4","","89"
"12155","716","6.0E-4","","1.0","6.0E-4","6.0E-4","","89"
"12220","710","0.015","0.027386127875258303","4.0","0.0","0.06","C","59,89"
"12220","711","0.0425","0.07759402897989853","4.0","0.0","0.17","C","59,89"
"12220","712","0.06","","1.0","0.06","0.06","C","89"
"12220","713","0.0725","0.13236628473041512","4.0","0.0","0.29","C","59,89"
"12220","714","0.0","","3.0","0.0","0.0","","59"
"12220","715","0.01705","0.024112341238461267","4.0","0.0","0.0341","","59,89"
"12220","716","0.0234","0.03309259735953042","4.0","0.0","0.0468","","59,89"
"14003","710","0.0","","1.0","0.0","0.0","D","31"
"14003","711","0.0","","1.0","0.0","0.0","D","31"
"14003","713","0.0","","1.0","0.0","0.0","D","31"
"14006","710","0.0","","1.0","0.0","0.0","C","89"
"14006","711","0.0","","1.0","0.0","0.0","C","89"
"14006","712","0.0","","1.0","0.0","0.0","C","89"
"14006","713","0.0","","1.0","0.0","0.0","C","89"
"14006","715","3.0E-4","","1.0","3.0E-4","3.0E-4","","89"
"14006","716","0.0","","1.0","0.0","0.0","","89"
"14106","710","0.0","","1.0","0.0","0.0","C","89"
"14106","711","0.0","","1.0","0.0","0.0","C","89"
"14106","712","0.0","","1.0","0.0","0.0","C","89"
"14106","713","0.0","","1.0","0.0","0.0","C","89"
"14106","715","0.0022","","1.0","0.0022","0.0022","","89"
