"NDB_No","FdGrp_Cd","Long_Desc"
"09209","0900","Orange juice, chilled, includes from concentrate"
"09218","0900","Tangerines, (mandarin oranges), raw"
"09219","0900","Tangerines, (mandarin oranges), canned, juice pack"
"09226","0900","Papayas, raw"
"09231","0900","Passion-fruit, (granadilla), purple, raw"
"09236","0900","Peaches, raw"
"09240","0900","Peaches, canned, light syrup pack, solids and liquids"
"09252","0900","Pears, raw"
"09256","0900","Pears, canned, light syrup pack, solids and liquids"
"09266","0900","Pineapple, raw, all varieties"
"09268","0900","Pineapple, canned, juice pack, solids and liquids"
"09277","0900","Plantains, raw"
"09278","0900","Plantains, cooked"
"09279","0900","Plums, raw"
"09286","0900","Pomegranates, raw"
"09291","0900","Plums, dried (prunes), uncooked"
"09292","0900","Plums, dried (prunes), stewed, without added sugar"
"09298","0900","Raisins, seedless"
"09302","0900","Raspberries, raw"
"09304","0900","Raspberries, canned, red, heavy syrup pack, solids and liquids"
"09307","0900","Rhubarb, raw"
"09316","0900","Strawberries, raw"
"09326","0900","Watermelon, raw"
"09433","0900","Clementines, raw"
"11001","1100","Alfalfa seeds, sprouted, raw"
"11011","1100","Asparagus, raw"
"11012","1100","Asparagus, cooked, boiled, drained"
"11038","1100","Lima beans, immature seeds, frozen, fordhook, cooked, boiled, drained, without salt"
"11043","1100","Mung beans, mature seeds, sprouted, raw"
"11052","1100","Beans, snap, green, raw"
"11053","1100","Beans, snap, green, cooked, boiled, drained, without salt"
"11060","1100","Beans, snap, green, frozen, all styles, unprepared"
"11061","1100","Beans, snap, green, frozen, cooked, boiled, drained without salt"
"11080","1100","Beets, raw"
"11081","1100","Beets, cooked, boiled, drained"
"11088","1100","Broadbeans, immature seeds, raw"
"11090","1100","Broccoli, raw"
"11091","1100","Broccoli, cooked, boiled, drained, without salt"
"11098","1100","Brussels sprouts, raw"
"11099","1100","Brussels sprouts, cooked, boiled, drained, without salt"
"11109","1100","Cabbage, raw"
"11110","1100","Cabbage, cooked, boiled, drained, without salt"
"11112","1100","Cabbage, red, raw"
"11113","1100","Cabbage, red, cooked, boiled, drained, without salt"
"11114","1100","Cabbage, savoy, raw"
"11115","1100","Cabbage, savoy, cooked, boiled, drained, without salt"
"11116","1100","Cabbage, chinese (pak-choi), raw"
"11124","1100","Carrots, raw"
"11125","1100","Carrots, cooked, boiled, drained, without salt"
"11126","1100","Carrots, canned, regular pack, solids and liquids"
"11135","1100","Cauliflower, raw"
"11136","1100","Cauliflower, cooked, boiled, drained, without salt"
"11141","1100","Celeriac, raw"
"11142","1100","Celeriac, cooked, boiled, drained, without salt"
"11143","1100","Celery, raw"
"11144","1100","Celery, cooked, boiled, drained, without salt"
"11152","1100","Chicory greens, raw"
"11161","1100","Collards, raw"
"11162","1100","Collards, cooked, boiled, drained, without salt"
"11167","1100","Corn, sweet, yellow, raw"
"11168","1100","Corn, sweet, yellow, cooked, boiled, drained, without salt"
"11203","1100","Cress, garden, raw"
"11205","1100","Cucumber, with peel, raw"
"11206","1100","Cucumber, peeled, raw"
"11209","1100","Eggplant, raw"
"11210","1100","Eggplant, cooked, boiled, drained, without salt"
"11215","1100","Garlic, raw"
"11233","1100","Kale, raw"
"11246","1100","Leeks, (bulb and lower leaf-portion), raw"
"11247","1100","Leeks, (bulb and lower leaf-portion), cooked, boiled, drained, without salt"
"11251","1100","Lettuce, cos or romaine, raw"
"11252","1100","Lettuce, iceberg (includes crisphead types), raw"
"11260","1100","Mushrooms, white, raw"
"11261","1100","Mushrooms, cooked, boiled, drained, without salt"
"11278","1100","Okra, raw"
"11282","1100","Onions, raw"
"11283","1100","Onions, cooked, boiled, drained, without salt"
"11292","1100","Onions, young green, tops only"
"11298","1100","Parsnips, raw"
"11299","1100","Parsnips, cooked, boiled, drained, without salt"
"11300","1100","Peas, edible-podded, raw"
"11304","1100","Peas, green, raw"
"11305","1100","Peas, green, cooked, boiled, drained, without salt"
"11306","1100","Peas, green, canned, regular pack, solids and liquids"
"11312","1100","Peas, green, frozen, unprepared"
"11313","1100","Peas, green, frozen, cooked, boiled, drained, without salt"
"11333","1100","Peppers, sweet, green, raw"
"11352","1100","Potato, flesh and skin, raw"
"11355","1100","Potatoes, red, flesh and skin, raw"
"11358","1100","Potatoes, red, flesh and skin, baked"
"11360","1100","Potatoes, french fried, crinkle or regular cut, salt added in processing, frozen, oven-heated"
"11365","1100","Potatoes, boiled, cooked in skin, flesh, without salt"
"11367","1100","Potatoes, boiled, cooked without skin, flesh, without salt"
"11422","1100","Pumpkin, raw"
"11423","1100","Pumpkin, cooked, boiled, drained, without salt"
"11429","1100","Radishes, raw"
"11435","1100","Rutabagas, raw"
"11436","1100","Rutabagas, cooked, boiled, drained, without salt"
"11450","1100","Soybeans, green, raw (includes edamame)"
"11451","1100","Soybeans, green, cooked, boiled, drained, without salt (includes edamame)"
"11452","1100","Soybeans, mature seeds, sprouted, raw"
"11453","1100","Soybeans, mature seeds, sprouted, cooked, steamed"
"11457","1100","Spinach, raw"
"11458","1100","Spinach, cooked, boiled, drained, without salt"
"11468","1100","Squash, summer, crookneck and straightneck, cooked, boiled, drained, without salt"
"11477","1100","Squash, summer, zucchini, includes skin, raw"
"11478","1100","Squash, summer, zucchini, includes skin, cooked, boiled, drained, without salt"
"11486","1100","Squash, winter, butternut, cooked, baked, without salt"
"11507","1100","Sweet potato, raw, unprepared"
"11510","1100","Sweet potato, cooked, boiled, without skin"
"11529","1100","Tomatoes, red, ripe, raw, year round average"
"11564","1100","Turnips, raw"
"11565","1100","Turnips, cooked, boiled, drained, without salt"
"11578","1100","Vegetable juice cocktail, canned"
"11591","1100","Watercress, raw"
"11667","1100","Seaweed, spirulina, dried"
"11670","1100","Peppers, hot chili, green, raw"
"11697","1100","Arrowroot, raw"
"11935","1100","Catsup"
"11957","1100","Fennel, bulb, raw"
"11963","1100","Nopales, raw"
"12023","1200","Seeds, sesame seeds, whole, dried"
"12036","1200","Seeds, sunflower seed kernels, dried"
"12038","1200","Seeds, sunflower seed kernels, oil roasted, without salt"
"12061","1200","Nuts, almonds"
"12078","1200","Nuts, brazilnuts, dried, unblanched"
"12087","1200","Nuts, cashew nuts, raw"
"12097","1200","Nuts, chestnuts, european, raw, unpeeled"
"12101","1200","Nuts, chestnuts, european, boiled and steamed"
"12104","1200","Nuts, coconut meat, raw"
"12108","1200","Nuts, coconut meat, dried (desiccated), not sweetened"
"12120","1200","Nuts, hazelnuts or filberts"
"12142","1200","Nuts, pecans"
"12151","1200","Nuts, pistachio nuts, raw"
"12155","1200","Nuts, walnuts, english"
"12220","1200","Seeds, flaxseed"
"14003","1400","Alcoholic beverage, beer, regular, all"
"14006","1400","Alcoholic beverage, beer, light"
"14106","1400","Alcoholic beverage, wine, table, white"
"14201","1400","Coffee, brewed from grounds, prepared with tap water, decaffeinated"
"14209","1400","Coffee, brewed from grounds, prepared with tap water"
"14242","1400","Cranberry juice cocktail, bottled"
"14355","1400","Tea, brewed, prepared with tap water"
"14602","1400","Alcoholic Beverage, wine, table, red, Merlot"
"15138","1500","Crustaceans, crab, alaska king, imitation, made from surimi"
"15184","1500","Fish, tuna, light, canned in water, without salt, drained solids"
"15185","1500","Fish, tuna, white, canned in oil, without salt, drained solids"
"16001","1600","Beans, adzuki, mature seeds, raw"
"16006","1600","Beans, baked, canned, plain or vegetarian"
"16009","1600","Beans, baked, canned, with pork"
"16014","1600","Beans, black, mature seeds, raw"
"16018","1600","Beans, black turtle soup, mature seeds, canned"
"16019","1600","Beans, cranberry (roman), mature seeds, raw"
"16024","1600","Beans, great northern, mature seeds, raw"
"16027","1600","Beans, kidney, all types, mature seeds, raw"
"16028","1600","Beans, kidney, all types, mature seeds, cooked, boiled, without salt"
"16032","1600","Beans, kidney, red, mature seeds, raw"
"16033","1600","Beans, kidney, red, mature seeds, cooked, boiled, without salt"
"16034","1600","Beans, kidney, red, mature seeds, canned"
"16037","1600","Beans, navy, mature seeds, raw"
"16040","1600","Beans, pink, mature seeds, raw"
"16042","1600","Beans, pinto, mature seeds, raw"
"16045","1600","Beans, small white, mature seeds, raw"
"16047","1600","Beans, yellow, mature seeds, raw"
"16049","1600","Beans, white, mature seeds, raw"
"16050","1600","Beans, white, mature seeds, cooked, boiled, without salt"
"16052","1600","Broadbeans (fava beans), mature seeds, raw"
"16053","1600","Broadbeans (fava beans), mature seeds, cooked, boiled, without salt"
"16054","1600","Broadbeans (fava beans), mature seeds, canned"
"16056","1600","Chickpeas (garbanzo beans, bengal gram), mature seeds, raw"
"16057","1600","Chickpeas (garbanzo beans, bengal gram), mature seeds, cooked, boiled, without salt"
"16058","1600","Chickpeas (garbanzo beans, bengal gram), mature seeds, canned"
"16062","1600","Cowpeas, common (blackeyes, crowder, southern), mature seeds, raw"
"16069","1600","Lentils, green, mature seeds, raw"
"16070","1600","Lentils, green, mature seeds, cooked, boiled, without salt"
"16071","1600","Lima beans, large, mature seeds, raw"
"16072","1600","Lima beans, large, mature seeds, cooked, boiled, without salt"
"16074","1600","Lima beans, thin seeded (baby), mature seeds, raw"
"16076","1600","Lupins, mature seeds, raw"
"16080","1600","Mung beans, mature seeds, raw"
"16081","1600","Mung beans, mature seeds, cooked, boiled, without salt"
"16083","1600","Mungo beans, mature seeds, raw"
"16085","1600","Peas, split, green, mature seeds, raw"
"16086","1600","Peas, split, green, mature seeds, cooked, boiled, without salt"
"16087","1600","Peanuts, all types, raw"
"16089","1600","Peanuts, all types, oil-roasted, with salt"
"16090","1600","Peanuts, all types, dry-roasted, with salt"
"16098","1600","Peanut butter, smooth style, with salt"
"16101","1600","Pigeon peas (red gram), mature seeds, raw"
"16104","1600","Bacon, meatless"
"16107","1600","Sausage, meatless"
"16108","1600","Soybeans, mature seeds, raw (all sources)"
"16109","1600","Soybeans, mature seeds, cooked, boiled, without salt"
"16111","1600","Soybeans, mature seeds, dry roasted (includes soy nuts)"
"16112","1600","Miso"
"16113","1600","Natto"
"16114","1600","Tempeh"
"16115","1600","Soy flour, full-fat, raw"
"16116","1600","Soy flour, full-fat, roasted"
"16117","1600","Soy flour, defatted"
"16119","1600","Soy meal, defatted, raw"
"16120","1600","Soymilk, original and vanilla, unfortified"
"16121","1600","Soy protein concentrate, produced by alcohol extraction"
"16122","1600","Soy protein isolate"
"16123","1600","Soy sauce made from soy and wheat (shoyu)"
"16125","1600","Soy sauce made from hydrolyzed vegetable protein"
"16126","1600","Tofu, firm, prepared with calcium sulfate and magnesium chloride (nigari)"
"16127","1600","Tofu, soft, prepared with calcium sulfate and magnesium chloride (nigari)"
"16128","1600","Tofu, dried-frozen (koyadofu)"
"16129","1600","Tofu, fried"
"16130","1600","Tofu, okara"
"16132","1600","Tofu, salted and fermented (fuyu)"
"16139","1600","Soymilk, original and vanilla, with added caclium, vitamins A and D"
"16147","1600","Veggie burgers or soyburgers, unprepared"
"16150","1600","Peanut butter, smooth, reduced fat"
"16158","1600","Hummus, commercial"
"16159","1600","Tofu, extra firm, prepared with nigari"
"16162","1600","Tofu, MORI-NU, silken, firm"
"16168","1600","Soymilk, fluid, chocolate, with added caclium, vitamins A and D"
"16173","1600","Chicken nuggets, meatless, canned, prepared (WORTHINGTON FriChik)"
"16174","1600","Tempeh, cooked"
"16229","1600","Soymilk (All flavors), lowfat, with added calcium, vitamins A and D"
"16230","1600","Soymilk (all flavors), nonfat, with added calcium, vitamins A and D"
"16427","1600","Tofu, raw, regular, prepared with calcium sulfate"
"16513","1600","Chicken nuggets, meatless, canned, unprepared (WORTHINGTON FriChik)"
"16546","1600","Sausage links, meatless, unprepared (MORNINGSTAR FARMS Veggie Sausage Links)"
"16557","1600","Chicken patties, meatless (MORNINGSTAR FARMS Chik Patties Original)"
"18029","1800","Bread, french or vienna (includes sourdough)"
"18035","1800","Bread, Multi-Grain (includes whole-grain)"
"18037","1800","Bread, oat bran"
"18060","1800","Bread, rye"
"18064","1800","Bread, wheat"
"18068","1800","Bread, wheat germ"
"18069","1800","Bread, white, commercially prepared (includes soft bread crumbs)"
"18075","1800","Bread, whole-wheat, commercially prepared"
"18079","1800","Bread crumbs, dry, grated, plain"
"18081","1800","Bread stuffing, bread, dry mix"
"18101","1800","Cake, chocolate, prepared from recipe without frosting"
"18127","1800","Cake, snack cakes, creme-filled, chocolate with frosting"
"18128","1800","Cake, snack cakes, creme-filled, sponge"
"18133","1800","Cake, sponge, commercially prepared"
"18150","1800","Cookies, animal crackers (includes arrowroot, tea biscuits)"
"18159","1800","Cookies, chocolate chip, commercially prepared, reg, higher fat, enriched"
"18216","1800","Crackers, crispbread, rye"
"18217","1800","Crackers, matzo, plain"
"18248","1800","Doughnuts, cake-type, plain (includes unsugared, old-fashioned)"
"18249","1800","Doughnuts, cake-type, plain, chocolate-coated or frosted"
"18250","1800","Doughnuts, cake-type, plain, sugared or glazed"
"18255","1800","Doughnuts, yeast-leavened, glazed, enriched (includes honey buns)"
"18290","1800","Pancakes, plain, dry mix, complete, prepared"
"18301","1800","Pie, apple, commercially prepared, enriched flour"
"18326","1800","Pie, pumpkin, commercially prepared"
"18342","1800","Rolls, dinner, plain, commercially prepared (includes brown-and-serve)"
"18356","1800","Sweet rolls, cinnamon, commercially prepared with raisins"
"18364","1800","Tortillas, ready-to-bake or -fry, flour"
"18376","1800","Bread crumbs, dry, grated, seasoned"
"19015","2500","Snacks, granola bars, hard, plain"
"19016","2500","Snacks, granola bars, hard, almond"
"19033","2500","Snacks, CHEX mix"
"19042","2500","Snacks, potato chips, barbecue-flavor"
"19056","2500","Snacks, tortilla chips, plain, white corn"
"19205","1900","Egg custards, dry mix, prepared with 2% milk"
"19218","1900","Puddings, tapioca, ready-to-eat"
"19314","1900","Pie fillings, canned, cherry"
"19411","2500","Snacks, potato chips, plain, salted"
"20005","2000","Barley, pearled, raw"
"20016","2000","Corn flour, whole-grain, yellow"
"20020","2000","Cornmeal, whole-grain, yellow"
"20029","2000","Couscous, cooked"
"20036","2000","Rice, brown, long-grain, raw"
"20037","2000","Rice, brown, long-grain, cooked"
"20038","2000","Oats"
"20044","2000","Rice, white, long-grain, regular, raw, enriched"
"20045","2000","Rice, white, long-grain, regular, cooked"
"20047","2000","Rice, white, long-grain, parboiled, enriched, cooked"
"20066","2000","Semolina, enriched"
"20077","2000","Wheat bran, crude"
"20080","2000","Wheat flour, whole-grain"
"20081","2000","Wheat flour, white, all-purpose, enriched, bleached"
"20088","2000","Wild rice, raw"
"20095","2000","Pasta, fresh-refrigerated, spinach, as purchased"
"20100","2000","Macaroni, cooked, enriched"
"20109","2000","Noodles, egg, dry, enriched"
"20110","2000","Noodles, egg, cooked, enriched"
"20120","2000","Spaghetti, dry, enriched"
"20121","2000","Spaghetti, cooked, enriched, without added salt"
"20124","2000","Spaghetti, whole-wheat, dry"
"20125","2000","Spaghetti, whole-wheat, cooked"
"21322","2100","McDONALD'S, Warm Cinnamon Roll"
"22116","1600","Franks, meatless, canned, prepared (LOMA LINDA Big Franks)"
"22122","1600","Sausage patties, meatless (MORNINGSTAR FARMS Veggie Sausage Patties)"
"22126","1600","Franks, meatless, canned, unprepared (LOMA LINDA Big Franks)"
"22518","2200","CHEF BOYARDEE Spaghetti and Meatballs in tomato Sauce, canned entree"
"22720","2200","HORMEL Vegetarian Chili with Beans, canned entree"
"22903","2100","Pizza, pepperoni topping, regular crust, frozen, cooked"
"22904","2200","Chili con carne with beans, canned entree"
"22910","2200","Lasagna, Cheese, frozen, prepared"
"22911","2200","Chili, no beans, canned entree"
"22932","2200","CAMPBELL Soup Company, SPAGHETTIOS, SpaghettiOs A to Z's"
"23501","1300","USDA Commodity, beef patties with VPP, frozen, cooked"
"23506","1300","USDA Commodity, beef patties with VPP, frozen, raw"
"23567","1300","Beef, ground, 85% lean meat / 15% fat, raw"
"25013","2500","Snacks, FRITOLAY, SUNCHIPS, Multigrain Snack, original flavor"
"25017","2500","Formulated bar, POWER BAR, chocolate"
"42178","0400","Mayonnaise, made with tofu"
"42237","0800","Cereals ready-to-eat, WEETABIX WHOLE WHEAT CEREAL"
"42299","0400","Oil, canola and soybean"
"43130","1600","Frankfurter, meatless (purchased in Germany)"
"43212","1600","Bacon bits, meatless"
"43476","1600","Tofu yogurt"
"43528","0100","Ensure plus, liquid nutrition"
"97068","0900","Apples, Golden Delicious, raw, without skin"
"97069","0900","Apples, Golden Delicious, raw, with skin"
"97070","0900","Apples, Granny Smith, raw, with skin"
"99001","1800","9-grain bread"
"99002","0600","Miso soup mix, dry"
"99003","1100","Alfalfa seeds, sprouted, raw,  mixed with clover seeds, sprouted, raw"
"99008","1600","Broadbeans, fried"
"99009","1100","Clover sprouts, raw"
"99010","1800","Bread, country rye, Finland"
"99014","1600","Soymilk, iced"
"99018","1600","Instant beverage, soy, powder,  not reconstituted"
"99019","1600","Kala chana, mature seeds, raw"
"99020","1400","Lapacho tea (Tecoma heptaphylla)"
"99021","0900","Lingonberries (cowberries), raw"
"99026","1600","Beans, red, mature seeds, raw"
"99029","0900","Pears without skin, raw"
"99030","1600","Soybeans, mature seeds, raw (Brazil)"
"99034","1600","Soybean, curd, fermented"
"99035","1600","Soybeans, flakes, defatted"
"99036","1600","Soybeans, flakes, full-fat"
"99038","1600","Soy paste"
"99040","1600","Soybeans, mature seeds, raw (Taiwan)"
"99041","1600","Soy cheese, cheddar"
"99042","1600","Soy cheese, unspecified"
"99043","1600","Soy drink"
"99044","0900","Currants, red, raw"
"99045","1600","Soy fiber"
"99047","0900","Grapes, white or green, raw"
"99048","0900","Grapes, black"
"99049","1600","Soy noodles, flat"
"99052","0900","Rhubarb stalks, cooked"
"99053","1600","Soymilk skin or film (Foo jook or yuba), raw"
"99054","1600","Soy cheese, mozzarella"
"99056","1600","Soy cheese, parmesan"
"99060","1600","Soy protein concentrate, aqueous washed"
"99063","1600","Soy-based liquid formula for adults, ABBOTT NUTRITION, ENRICH"
"99064","1600","Soy-based liquid formula for adults, ABBOTT NUTRITION, GLUCERNA"
"99065","1600","Soy-based liquid formula for adults, ABBOTT NUTRITION, JEVITY ISOTONIC"
"99070","1400","Tea, green, brewed"
"99072","1600","Soybean chips"
"99073","0900","Currants, dried"
"99080","1600","Soy flour (textured)"
"99081","1600","Tempeh burger"
"99084","1600","Tofu, AZUMAYA, extra firm, cooked (steamed)"
"99085","1600","Tofu, AZUMAYA, firm, cooked"
"99086","1600","Tofu, soft, VITASOY-silken"
"99092","1600","Soybeans, mature seeds, raw (Japan)"
"99093","1600","Soybeans, mature seeds, raw (Korea)"
"99096","1600","Soymilk skin or film (Foo jook or yuba), cooked"
"99097","1600","Tofu, pressed (Tau kwa), raw"
"99100","1600","Soybeans, green, mature seeds, raw"
"99105","1600","Soybean butter, full fat, Worthington Foods, Inc."
"99106","1400","Tea, jasmine, Twinings"
"99107","1400","Tea, green, Japan"
"99111","1600","Soy hot dog, frozen, unprepared"
"99337","0900","Cloudberries, raw"
"99395","0900","Plums, Greengage, raw"
"99423","0400","Olive oil, extra-virgin"
"99457","1600","Peas, yellow, mature seeds, raw"
"99468","1800","Bread, sweet (King's Hawaiian)"
"99469","1100","Broccoli, green sprouting (calabrese), raw"
"99470","1100","Broccoli, green sprouting (calabrese), cooked"
"99471","1600","Soy cheese, swiss"
"99472","1600","Soy cheese, American"
"99474","1900","Licorice, black, soft candy"
"99475","2500","Chips, potato, sweet onion"
"99476","1800","Bread, taro rolls"
"99477","0800","Cereals ready-to-eat, KELLOGG, KELLOGG'S BRAN FLAKES (Purchased in the United Kingdom)"
"99478","0800","Cereals ready-to-eat, KELLOGG, KELLOGG'S COCO POPS (Purchased in the United Kingdom)"
"99479","0800","Cereals ready-to-eat, KELLOGG, KELLOGG'S CRUNCHY NUT CORN FLAKES (Purchased in the United Kingdom)"
"99480","0800","Cereals ready-to-eat, KELLOGG, KELLOGG'S FROSTIES  (Purchased in the United Kingdom)"
"99481","0800","Cereals ready-to-eat, KELLOGG, KELLOGG'S FRUIT AND FIBER  (Purchased in the United Kingdom)"
"99482","0800","Cereals ready-to-eat, KELLOGG, KELLOGG'S RICICLES  (Purchased in the United Kingdom)"
"99483","0800","Cereals ready-to-eat, KELLOGG, KELLOGG'S START  (Purchased in the United Kingdom)"
"99484","0800","Cereals ready-to-eat, KELLOGG, KELLOGG'S SULTANA BRAN  (Purchased in the United Kingdom)"
"99485","0100","Ensure, liquid nutrition"
"99486","1600","Beans, common, raw (Phaseolus vulgaris)"
"99488","1600","Soybeans, mature seeds, raw (China)"
"99489","1100","Potatoes, new, raw"
"99490","1100","Potaotes, new, cooked"
"99491","2200","Ravioli, canned with beef in tomato sauce"
"99492","1600","Beans, scarlet runner, mature seeds, raw"
"99493","1600","Beans, scarlet runner, mature seeds, cooked"
"99494","0600","Miso soup"
"99495","1600","Tofu, silken"
"99496","0600","Sweet sauce, fermented (Kecap manis, purchased in Indoensia)"
"99497","1600","Sufu"
"99498","1600","Oncom"
"99499","1600","Oncom, fried"
"99500","1600","Tempeh, fried"
"99501","0600","Soup, New England Clam Chowder"
"99502","0600","Soup, pea, reheated"
"99503","0600","Black bean, sauce"
"99504","1900","Pudding, made with soymilk"
"99505","0900","Melons, galia, raw"
"99506","0700","Frankfurter, beef, fat free"
"99507","0700","Frankfurter, pork and chicken, lite"
"99508","1800","English muffins, with added soy flour or soy protein"
"99509","1800","Doughnuts, with added soy lfour or soy protein"
"99510","1600","Soy yogurt"
"99511","1600","Soy lecithin"
"99512","1600","Beans, adzuki, mature seeds, canned"
"99513","0900","Lychees, canned, syrup"
"99514","1100","Squash, summer, zucchini, without skin, cooked"
"99515","1800","Bread, white, commercially prepared, with added soy flour or soy protein"
"99516","1800","Bread, whole grain, commercially prepared, with added soy flour or soy protein"
"99517","1800","Bread, whole meal, commercially prepared, with added soy flour or soy protein"
"99518","1800","Bread, flax, commercially prepared"
"99519","1800","Bread, sesame, commercially prepared"
"99520","1600","Soybeans, mature seeds, canned"
"99521","0900","Cranberries, boiled"
"99522","0800","Cereals ready-to-eat, Ready Brek (Purchased in the United Kingdom)"
"99523","1800","Bread, brown (Purchsed in the United Kingdom)"
"99524","1800","Bread, granary (Purchsed in the United Kingdom)"
"99526","0900","Mango, canned, syrup pack"
"99527","0900","Stawberries, canned in syrup"
"99528","2500","Bar, TIGER'S MILK PROTEIN RICH"
"99529","1600","Tofu, firm, cooked"
"99531","0800","Museli"
"99532","0800","Cereals ready-to-eat, NESTLES SHREDDIES (Purchased in the United Kingdom)"
"99533","0100","Non-dairy creamer, with added soy flour or soy protein"
"99534","1800","Bread, soy and linseed (purchased in Australia)"
"99535","1600","Soy cheese, Monterey Jack, fat-free"
"99536","2200","Lasagna, vegetable, commercially prepared (Purchased in the United Kingdom)"
